Particle #,Frame ID,Area (μm²),Equivalent Diameter (μm)
0,AR55,2.6401095920138893,1.8334371914485372
2,AR55,3.3616807725694446,2.068870439735478
4,AR55,2.084011501736111,1.6289401019354055
5,AR55,2.6414659288194446,1.833908088384888
6,AR55,2.2176106770833335,1.6803421106695564
7,AR55,3.0931260850694446,1.9845126475692403
8,AR55,6.139458550347223,2.7958900925402093
9,AR55,1.633029513888889,1.4419562249953959
10,AR55,2.0446777343750004,1.6134945142905661
11,AR55,3.3603244357638893,2.068453034215294
12,AR55,2.2060818142361116,1.6759685572248988
13,AR55,2.893744574652778,1.9194869170720468
14,AR55,2.7642144097222228,1.8760349401290743
15,AR55,2.3315429687500004,1.722966252734429
16,AR55,1.7598470052083337,1.496899061298055
17,AR55,1.688639322916667,1.4663022753621815
18,AR55,1.782904730902778,1.50667342442907
19,AR55,1.1793348524305558,1.2253880081831188
20,AR55,2.589246961805556,1.8156903984039265
21,AR55,0.8558485243055557,1.0438870558873057
22,AR55,2.344428168402778,1.7277206527102247
23,AR55,1.715766059027778,1.4780328805099607
24,AR55,2.848307291666667,1.9043574977686075
25,AR55,1.652018229166667,1.4503154615456448
26,AR55,2.3518880208333335,1.7304672296561747
27,AR55,2.033148871527778,1.6089392603708936
28,AR55,0.9270562065972224,1.0864458672348818
29,AR55,1.3624403211805558,1.3170849988777338
30,AR55,11.991373697916668,3.907414898354745
31,AR55,2.8862847222222228,1.9170111751625962
32,AR55,2.5166829427083335,1.7900671060652191
33,AR55,1.0620117187500002,1.1628393342524401
