site_name,list_of_measurements,from_date,to_date,frequency
Akitio at Cadmus Bridge,Dissolved Oxygen,,,
Arawhata Drain at Dairy Track Bridge,Dissolved Oxygen,,,
Arawhata Drain at Hokio Beach Road,Dissolved Oxygen,,,
Hokio at Lake Horowhenua,Dissolved Oxygen,,,
Kai Iwi at Handley Road,Dissolved Oxygen,,,
Lake Horowhenua at Buoy,Dissolved Oxygen (-500 mm);Dissolved Oxygen (-2000 mm),,,
Lake Koitiata,Dissolved Oxygen (-500 mm);Dissolved Oxygen (-2000 mm),,,
Lake William,Dissolved Oxygen (-500 mm),,,
Lake Wiritoa,Dissolved Oxygen (-500 mm),,,
Makuri at Tuscan Hills,Dissolved Oxygen,2022-02-28 13:00:00,,
Manawatu at Hopelands,Dissolved Oxygen,,,
Manawatu at Moutoa,Dissolved Oxygen,,,
Manawatu at Teachers College,Dissolved Oxygen,,,
Manawatu at Weber Road,Dissolved Oxygen,,,
Mangatainoka at Pahiatua Town Bridge,Dissolved Oxygen,,,
Ohau at Haines Ford,Dissolved Oxygen,,,
Oroua at Almadale Slackline,Dissolved Oxygen,,,
Owahanga at Owahanga Station,Dissolved Oxygen,,,
Pohangina at Mais Reach,Dissolved Oxygen,,,
Rangitikei at Mangaweka,Dissolved Oxygen,,,
Rangitikei at McKelvies,Dissolved Oxygen,,,
Turakina at Waipu,Dissolved Oxygen,,,
Waikawa at ds Manakau Confluence,Dissolved Oxygen,,,
Wainui at Herbertville Road Br,Dissolved Oxygen,,,
Whangaehu at Kauangaroa,Dissolved Oxygen,,,
Whanganui at Te Rewa,Dissolved Oxygen,,,
