num;nom;suspension;alt_acc;long_bras;angle_ligne;long_ch;pds_ch;surf_ch;ctr_poids;ch_en_V;portée;;nb_portées
1;98;FAUX;1075,53;0;-19,1;0;0;0;0;FAUX;473,07;;19
2;99;VRAI;1071,86;0;0;2;65;0;0;FAUX;424,53;;conducteur
3;100;VRAI;1065,51;0;0;2;65;0;0;FAUX;453,46;;ASTER600
4;101;VRAI;1068,57;0;5;2;130;0;0;FAUX;500,07;;câble par faisceau
5;102;VRAI;1006,16;0;0;2;65;0;0;FAUX;508,96;;1
6;103;VRAI;1076,51;0;0;2;65;0;0;FAUX;496,89;;temp réglage
7;104;VRAI;1081,92;0;1,4;2;65;0;0;FAUX;522,35;;25
8;105;VRAI;1090,16;0;0;2;65;0;0;FAUX;426,38;;paramètre réglage
9;106;VRAI;1111,39;0;0;2;65;0;0;FAUX;367,72;;2001
10;107;VRAI;1143,57;0;0;2;65;0;0;FAUX;452,33;;pret %CRA
11;108;VRAI;1122,55;0;0;2;130;0;0;FAUX;1083,08;;0
12;109;VRAI;1265,1;0;-4,9;2;130;0;0;FAUX;468,62;;temp load
13;110;VRAI;1222,62;0;-0,6;2;65;0;0;FAUX;411,67;;15
14;111;VRAI;1205,33;0;0;2;65;0;0;FAUX;574,32;;vent load
15;112;VRAI;1163,6;0;0;2;65;0;0;FAUX;439,58;;200
16;113;VRAI;1134,9;0;0;2;65;0;240;FAUX;550;;givre load
17;114;VRAI;1159,65;0;0;2;65;0;0;FAUX;329,26;;1
18;115;VRAI;1142,88;0;0;2;65;0;0;FAUX;544,04;;nom projet
19;116;VRAI;1022,31;0;0;2;65;0;0;FAUX;516,94;;mon_projet
20;117;FAUX;1135,72;0;33;0;0;0;0;FAUX;;;
