string,dyn_id
夏,3
商,4
殷,4
殷商,4
周,5
西周,6
東周,9
秦,41
漢,42
前漢,43
西漢,43
新,44
更始,45
後漢,46
東漢,46
曹魏,48
魏,48
蜀,49
吳,50
晉,51
西晉,52
東晉,53
趙,55
成漢,56
趙,57
涼,58
燕,59
冉魏,60
前秦,62
後燕,63
後秦,64
西秦,65
後涼,66
南涼,67
北涼,68
南燕,69
西涼,70
北燕,72
西燕,73
劉宋,83
宋,83
南宋,83
南齊,84
齊,84
南梁,85
梁,85
梁,86
梁,87
西梁,87
陳,88
北魏,89
魏,89
東魏,92
魏,92
西魏,93
魏,93
北齊,94
齊,94
北周,95
周,95
隋,96
唐,97
周,99
武周,99
前蜀,100
吳,101
吳,102
吳越,104
後梁,105
楚,106
閩國,107
南漢,108
後唐,109
南平,110
後蜀,111
閩,112
後晉,113
南唐,114
遼,115
後漢,116
後周,117
北漢,118
宋,119
西夏,120
金,121
偽齊,122
西遼,123
元,124
明,125
北元,126
清,127
南明,128
中華民國,129
中華人民共和國,130
偽燕,131
北宋,132
北魏,89
北齊,94
晉,14
秦,15
楚,16
宋,17
衛,18
鄭,19
燕,20
吳,21
越,22
蔡,23
曹,24
陳,25
杞,26
滕,27
韓,28
魏,29
趙,30
魯,10
齊,11
偽梁,85
六國,8
朝鮮,142
高麗,141
後百濟,139
百濟,139
後高句麗,140
高句麗,140
新羅,136
桓楚,77
侯漢,80
後周,95
